Honest_FPTP_Winner,Honest_FPTP_Top_Two_Ratio,Honest_FPTP_Total_Ratio,Strategic_FPTP_Winner,Strategic_FPTP_Top_Two_Ratio,Strategic_FPTP_Total_Ratio,Approval_Winner,Approval_Top_Two_Ratio,Approval_Total_Ratio,Borda_Winner,Borda_Top_Two_Ratio,Borda_Total_Ratio,Classic_STV_Winner,Classic_STV_Top_Two_Ratio,Classic_STV_Total_Ratio,Complete_STV_Winner,Complete_STV_Top_Two_Ratio,Complete_STV_Total_Ratio
D,0.0053107542774117585,0.0035411238057058863,D,0.0034394852911423138,0.003372815110211694,D,0.00032171581769437,0.00012497309606959614,D,0.0017434620174346202,0.0006820158905062924,D,0.0033857557848342183,0.0022867813214619164,D,0.0033857557848342183,0.0022867813214619164
D,7.499812504687383e-05,5.000416701391782e-05,R,0.003969700652165107,0.0038866525213666738,R,0.004863743652099278,0.0018914765338692518,R,0.002226630740532378,0.0008728799000831093,R,0.004510193036261952,0.0030481196488566166,R,0.004510193036261952,0.0030481196488566166
R,0.00012511573205214823,8.329030001166064e-05,D,0.002508547267908802,0.002458171437633812,D,0.0038289497226695296,0.0014871955245144028,D,0.0015106098124474249,0.0005917324533923674,D,0.001421023136658394,0.0009587468773209102,D,0.001421023136658394,0.0009587468773209102
D,0.010011823007068649,0.006650180457158134,D,0.003500607041683529,0.0034321310955045033,D,1.7845033727113746e-05,6.946373992775771e-06,D,0.0021439782048624477,0.0008403127263273227,D,0.0019018257527226136,0.0012845996781739753,D,0.0019018257527226136,0.0012845996781739753
R,0.0003997601439136518,0.00026684901349255326,R,0.003600542104092077,0.003532867577008574,R,0.0022880840870902006,0.0008893273766926749,R,0.0019068147902503731,0.0007474309961026812,R,0.003506170860714858,0.0023710166919575114,R,0.003506170860714858,0.0023710166919575114
D,0.008150533306500302,0.005406938904927991,D,0.011801267468313292,0.011576933806240784,D,0.009823781438789595,0.0038143497508143775,D,0.007882387882387883,0.0030837372943981482,D,0.011971349241479216,0.008054581635553872,D,0.011971349241479216,0.008054581635553872
D,0.010837786067143865,0.007179470054931294,D,0.007869224840790168,0.00771295099890667,D,0.0018273675158551005,0.0007079449468694258,D,0.0020118813761506003,0.0007862492201289078,D,0.007488005139220685,0.0050400637777507536,D,0.007488005139220685,0.0050400637777507536
R,0.0026797565679080367,0.0017844337341360505,R,0.0030955367620280824,0.0030345101150337167,R,0.0005721539809401205,0.0002221635957177967,R,0.0015996776945682056,0.0006265300676420425,R,0.0032252248642801336,0.0021781187007048446,R,0.0032252248642801336,0.0021781187007048446
R,0.002202036884117809,0.0014679388803629813,R,0.0017789997169773177,0.001744474179799782,D,0.00214799699280421,0.0008332581086429698,D,5.9258908095359435e-05,2.3189051057652617e-05,R,0.0023828594313175812,0.0016087385597058307,R,0.0023828594313175812,0.0016087385597058307
R,0.004907238176310057,0.0032741973205038253,R,0.006077303297949923,0.005960067547432204,R,0.0025392965075731835,0.00098654957759004,R,0.0020911455093686874,0.0008193315832596399,R,0.0058772792008505,0.003971212100676326,R,0.0058772792008505,0.003971212100676326
R,0.0012763401571650233,0.0008501416902817136,D,0.0029729401771629656,0.002916319485775503,D,0.001144942573974024,0.00044433027624846393,D,0.0017018299118843467,0.0006657851393045213,D,0.0037068948243733344,0.002504535239487721,D,0.0037068948243733344,0.002504535239487721
R,0.002947936444488858,0.0019714968339097456,R,0.0015564359637774902,0.0015262636273538157,R,0.003933980651967884,0.0015293070848626405,R,0.004561314132372891,0.0017889586402055676,R,0.0021824006407047754,0.0014764046161347998,R,0.0021824006407047754,0.0014764046161347998
D,0.012830531118449244,0.008509002156505458,D,0.007930712749989858,0.007772432711803761,D,0.008839499936860715,0.0034009828146256142,D,0.0065196274158080105,0.0025376707244655584,D,0.007125366304042391,0.004799437587032055,D,0.007125366304042391,0.004799437587032055
D,0.0031093279839518556,0.0020668389032419366,D,0.0010916368488082964,0.0010697729704029478,D,0.004538116591928251,0.0017569932498124948,D,0.00350117200249236,0.001369246264742605,D,0.0011406615837185568,0.0007687639085575561,D,0.0011406615837185568,0.0007687639085575561
R,0.004500087990547301,0.002981196808953583,R,0.0051662310824773594,0.00506103006847276,R,0.005698618353851943,0.0022102058688611183,R,0.004815142465281695,0.0018827145447243368,R,0.004831692696325106,0.00324955504018122,R,0.004831692696325106,0.00324955504018122
R,0.0017240086950003747,0.0011517852671641044,R,0.0018190270226569921,0.0017845812182741116,R,0.004671726211784921,0.0018141377632584972,R,0.0037763365385755443,0.0014790563759635924,R,0.0031048435559472777,0.0020995313304255953,R,0.0031048435559472777,0.0020995313304255953
R,0.004077446467880728,0.0027230203808887403,R,0.004841094614029046,0.004742910440356413,R,0.006561069794050343,0.002554002895000557,R,0.0061794590751547826,0.002424617187118611,R,0.0056358932188772335,0.0038122888656744766,R,0.0056358932188772335,0.0038122888656744766
R,0.0031076136534509548,0.0020675970853550763,D,0.0023259576877958012,0.0022798461599460767,D,0.0006791292847696322,0.00026387606158033986,D,0.00014209002587222555,5.567567065984949e-05,D,0.002142313698794698,0.0014467670840206603,D,0.002142313698794698,0.0014467670840206603
D,0.008571715851390075,0.005695103213307502,D,0.006691133234656015,0.006554121151936445,D,0.007734687651418624,0.0029962807188292956,D,0.008004991977179533,0.003129777732340107,D,0.006762858461600209,0.004554361781201432,D,0.006762858461600209,0.004554361781201432
R,0.007745331495174834,0.005167656158541684,R,0.003725148803498401,0.003649273120326848,R,0.004966148019793137,0.0019340206759332693,R,0.00347988708121512,0.0013660440479509339,R,0.004510193036261952,0.0030534143958310714,R,0.004510193036261952,0.0030534143958310714
D,0.002977307413245265,0.001986279648144748,D,0.0011315417256011315,0.0011099439081917824,D,0.0036706775533591174,0.0014241451655481916,D,0.0026556961124876996,0.00103978814316583,D,0.0011406615837185568,0.0007709683091447662,D,0.0011406615837185568,0.0007709683091447662
D,0.015838642258202605,0.010543607623581475,D,0.0117888574971036,0.011549183592194345,D,0.006291562852892147,0.0024398890580359938,D,0.0057580434524516205,0.002252832879282995,D,0.011202510005832545,0.007568757473638439,D,0.011202510005832545,0.007568757473638439
R,0.010856423173803526,0.007199171510656778,R,0.011091924834941595,0.010870430835390618,R,0.0073073754343231725,0.0028381226653310795,R,0.00707758625808252,0.0027695939477866485,R,0.01148569819366778,0.007733040804994651,R,0.01148569819366778,0.007733040804994651
R,0.009512784376887457,0.006312098188194039,R,0.012197601138442773,0.011950048796032583,R,0.012903341911566217,0.0049890408099363326,R,0.010940606435790902,0.00427279891575984,R,0.011323866607667243,0.007620465619924201,R,0.011323866607667243,0.007620465619924201
R,0.0028189392805468244,0.0018896321070234114,R,0.0023249701797303035,0.00228079570020428,R,0.0016063396872992076,0.0006255169202326922,R,0.0002775710759127364,0.00010914343304863152,R,0.001821675941866517,0.0012361611084697412,R,0.001821675941866517,0.0012361611084697412
D,0.005857803700724055,0.0038839806634439074,D,0.0041319803123291005,0.00404569252736792,D,0.0071139854486661274,0.002751184537787103,D,0.004374520793832877,0.0017075932215973421,D,0.004912083725965876,0.0033013528809356977,D,0.004912083725965876,0.0033013528809356977
R,0.012987993657026353,0.008635405161160759,R,0.010560734377221308,0.010350318471337579,R,0.009276704168236708,0.0035964967200228172,R,0.007439380625549196,0.00291180011061587,R,0.010717230008244023,0.007220461134140725,R,0.010717230008244023,0.007220461134140725
R,0.011795181328906997,0.007847008432606077,R,0.008909183155758497,0.0087302376454211,R,0.00503250532800831,0.001953002828726517,R,0.005319401567323676,0.0020805130693837175,R,0.009505053955750256,0.006416865639244628,R,0.009505053955750256,0.006416865639244628
D,0.007423011335138931,0.004947598910191051,D,0.005183130529853617,0.005084207181442644,R,0.002093360290565565,0.0008125507844240265,D,0.0012972550320463458,0.0005081654531025937,D,0.004711118239044144,0.003185317718499241,D,0.004711118239044144,0.003185317718499241
D,0.00497037855206346,0.0033019261235720837,D,0.0066707218167072185,0.006534260178748759,D,0.007145287512759442,0.0027754784048303065,D,0.005813160283065315,0.002276761237442965,D,0.006722587895328303,0.004530945682752651,D,0.006722587895328303,0.004530945682752651
R,0.012678008821676119,0.008408418448370973,R,0.015062693372414917,0.01476132532764158,R,0.010974010812364172,0.004251588256987983,R,0.007359929667823029,0.002878610460577674,R,0.014890187386661294,0.010002571703144246,R,0.014890187386661294,0.010002571703144246
D,0.004788647645790503,0.003187477053502887,D,0.005938507063377855,0.005817301010582325,D,0.008011901347863493,0.003109348914858097,D,0.005689706318599822,0.002227694023089967,D,0.006199217574480891,0.004180647256196558,D,0.006199217574480891,0.004180647256196558
D,0.00017499562510937225,0.00011668416929206048,R,0.0012931644137317896,0.0012687336452303544,R,0.002127165150242211,0.0008267505922730083,D,0.0004500023684335181,0.0001763197884162539,R,0.0008203445447087777,0.0005537696858370026,R,0.0008203445447087777,0.0005537696858370026
R,0.011451726568005638,0.00760716912994048,R,0.010111059224818792,0.009910842222576023,R,0.006680995880351066,0.00259395254388161,R,0.0066096169035162215,0.002585395881485267,R,0.010070554181993608,0.006784297263260525,R,0.010070554181993608,0.006784297263260525
D,0.0025006876891145065,0.0016691704223001167,D,0.0003032937703459571,0.0002968709798721476,D,0.004359711973127021,0.0016969427212284753,D,0.0026878855694883546,0.0010542472929762517,D,0.0009004141905276427,0.0006097147889709369,D,0.0009004141905276427,0.0006097147889709369
R,0.013647923853649938,0.009072040707016605,R,0.00854163285180977,0.008371445615430503,R,0.010090871614718692,0.003919439165152496,R,0.0076676367523905685,0.0029999674674325762,R,0.007770148174918685,0.005248382765775662,R,0.007770148174918685,0.005248382765775662
R,0.004910557699052964,0.00327272120088831,R,0.006364262840001621,0.006236717182751703,R,0.008690977510975719,0.003374875616697632,R,0.0059773713797765604,0.002342252326567601,R,0.006803130644190247,0.004591816002275591,R,0.006803130644190247,0.004591816002275591
D,0.010064574714963172,0.006654880245513376,D,0.00709881551192601,0.006952030986195253,D,0.00589387432391152,0.002277461463685599,D,0.0047895284843076005,0.0018672338727822248,D,0.007125366304042391,0.004784753484109227,D,0.007125366304042391,0.004784753484109227
D,0.017529699598960828,0.011649932111906399,D,0.01194175348808871,0.011719684286055968,D,0.007719373833117909,0.0029889132172522853,D,0.008233461739668047,0.0032179517562813953,D,0.011849914495523589,0.007983517898532062,D,0.011849914495523589,0.007983517898532062
D,0.004775358151861389,0.003193392519770611,D,0.005876988550005066,0.005758081169089032,D,0.00276312036508842,0.0010782758716643014,D,0.002311940492662102,0.0009082757627425747,D,0.006158969626449465,0.004172499558285877,D,0.006158969626449465,0.004172499558285877
R,0.00262309825376602,0.0017539463793535455,R,0.006849731482419698,0.006717545114873997,R,0.005516549648946841,0.0021409852702993903,R,0.002884814738026834,0.0011307253126908244,R,0.007044797687861272,0.0047693457435967115,R,0.007044797687861272,0.0047693457435967115
D,0.005663592622293504,0.003774908550334898,D,0.011066663959225943,0.010855060051387257,D,0.002109666922925643,0.0008197404618334399,D,0.003982717849332362,0.0015606203465877687,D,0.010232184139109458,0.006916042773482615,D,0.010232184139109458,0.006916042773482615
D,0.0011756171990294905,0.0007836859920297468,D,0.0005654395282618793,0.0005549829540949814,R,0.0022372565864833905,0.0008680434993958417,R,0.0011552817110018366,0.00045242149906963577,D,0.0013809666766736715,0.0009324072322369665,D,0.0013809666766736715,0.0009324072322369665
R,0.001203580652441012,0.0007990677542866656,D,0.0030542071197411005,0.0029955562609109664,D,0.003936796521303437,0.001528881970311892,D,0.001878485123227439,0.0007356200209315223,D,0.003144969051100739,0.0021191016088975274,D,0.003144969051100739,0.0021191016088975274
R,0.0076807605704278204,0.005140484243662302,R,0.010641970795507626,0.010430766780794649,R,0.0048164726947179945,0.0018696135668612732,R,0.005075871229416334,0.0019883763606208566,R,0.011364322062875878,0.007699855542533184,R,0.011364322062875878,0.007699855542533184
R,0.004314561645553744,0.002868483372802775,R,0.0016782594629569719,0.001644867221561633,R,0.0026518069914532975,0.0010274923632324355,R,0.0019201479225066228,0.0007518482937220668,R,0.0016613955722807158,0.0011209551077737562,R,0.0016613955722807158,0.0011209551077737562
R,0.004997112221580493,0.0033179385431081915,R,0.004455154816629878,0.004365252589388468,R,0.001606081696022271,0.0006255560498220641,R,0.00338868581787591,0.0013282864640178343,R,0.0035463124361363226,0.002389115352428259,R,0.0035463124361363226,0.002389115352428259
D,0.00012477851813031868,8.344041519950603e-05,R,0.001900948451940383,0.0018630093546852704,D,0.0016971559239674146,0.0006600522483463954,D,0.0003902762091170888,0.00015319551926317598,R,0.0016213294901819492,0.0010991546008440422,R,0.0016213294901819492,0.0010991546008440422
D,0.0077538769384692344,0.005191847125224003,D,0.006397667685704452,0.006283555378802943,D,0.006290322580645161,0.002440075635392915,D,0.006321412672503339,0.002474103224697358,D,0.006400481540930979,0.00433276740237691,D,0.006400481540930979,0.00433276740237691
D,0.009867677706078791,0.006574215025343348,D,0.005958050461039619,0.005837966640190627,D,0.002772610188895249,0.0010768375712102264,D,0.004197645049980435,0.001644121915820029,D,0.0058772792008505,0.003974659847796302,D,0.0058772792008505,0.003974659847796302
R,0.008170630842878267,0.005453876267273397,R,0.009700659563673263,0.00951319508020539,R,0.007009303909793306,0.0027185816095949937,R,0.006121722624273342,0.002397841942251973,R,0.009989748949769854,0.0067505161360425945,R,0.009989748949769854,0.0067505161360425945
R,0.0012033392664644387,0.0007991741866737705,R,0.007401399168609956,0.007253721258371589,R,0.005193688772677616,0.0020156806049822064,R,0.004242845020442799,0.0016598377305491394,R,0.006682318945277226,0.004500851512448301,R,0.006682318945277226,0.004500851512448301
D,0.012857933672185597,0.008552873832557829,D,0.012006582288767446,0.011776427219288631,D,0.007178917970568226,0.002789759287602616,D,0.007176309275780402,0.002809543617641796,D,0.01172849440733886,0.00791710801488362,D,0.01172849440733886,0.00791710801488362
R,0.005260257502129152,0.0035077755691783454,R,0.005025838484142264,0.004920049200492005,R,0.006486873936027238,0.002516825184937983,R,0.004044837198268193,0.0015834430366815492,R,0.006480998434929171,0.0043745005891355285,R,0.006480998434929171,0.0043745005891355285
D,0.0003257492232133908,0.00021638536569126802,R,0.0012337938148500233,0.0012079925540131097,R,0.0037455197132616486,0.0014514896867838043,R,0.001986162082683631,0.0007772675911897299,R,0.0009804902451225612,0.0006603506596768325,R,0.0009804902451225612,0.0006603506596768325
R,0.00047497625118744064,0.00031678282036746807,D,0.004210441084188579,0.0041278031355427664,R,0.0020774383036641715,0.0008053038980874032,D,0.0001007007588098355,3.942806118307377e-05,D,0.004188796472592444,0.002833091594257906,D,0.004188796472592444,0.002833091594257906
R,0.004839033196269181,0.0032208537765762157,R,0.007237855810558754,0.007094876584919909,R,0.0009804271097008806,0.0003823533501105349,R,0.003159464192739149,0.0012405650843653952,R,0.00696423553967808,0.004704510635990184,R,0.00696423553967808,0.004704510635990184
D,0.0013763763763763764,0.0009169111763136837,D,0.003218884120171674,0.003152010149869162,R,0.0018428727344295146,0.0007152529426061595,D,0.0011838312330194208,0.00046419221271143954,D,0.003345620642679702,0.002261799959368863,D,0.003345620642679702,0.002261799959368863
D,0.012264531076861086,0.00814326800882884,D,0.011851279653609253,0.011608227306214284,D,0.002986622791329852,0.0011603991217098864,D,0.005285857513214644,0.0020694700902344704,D,0.012173773064772521,0.00820138813577703,D,0.012173773064772521,0.00820138813577703
R,0.005902360944377751,0.003947874671707456,R,0.000727375588467056,0.0007132950267485635,D,0.0020139371580316884,0.0007859393366115582,D,0.00021845663340615222,8.592821046373365e-05,R,0.0006201984635083226,0.0004204073883208115,R,0.0006201984635083226,0.0004204073883208115
D,0.0003753565887593214,0.0002499083669321249,R,0.0002627589691763517,0.0002573696818514779,R,0.002852990256769123,0.0011033315060128097,R,0.0017019005544519229,0.0006657743280202841,R,0.0009804902451225612,0.0006614560131751239,R,0.0009804902451225612,0.0006614560131751239
R,0.0020535423605719865,0.0013669856299803288,R,0.0026693090129623264,0.002618216439225643,D,0.0032372299327514667,0.0012577654858032326,R,0.0003907429444256967,0.00015312372396896693,R,0.001701463258402226,0.0011497517888785186,R,0.001701463258402226,0.0011497517888785186
D,0.004034582132564841,0.0026863330719303223,D,0.00014135988206546982,0.00013868801141204209,D,0.00392564575976482,0.0015209072663254465,D,0.0024088808197314632,0.0009418860921006844,R,0.00026003640509671355,0.00017570891790338712,R,0.00026003640509671355,0.00017570891790338712
D,0.008417931450397025,0.005595643749582414,D,0.005834802163739136,0.005719733079122974,D,0.0019311578006258382,0.0007501771251545503,D,0.0020389414100702367,0.000798254977491066,D,0.005676120181314934,0.0038272723584382566,D,0.005676120181314934,0.0038272723584382566
D,0.004812995086734182,0.003204539764666611,D,0.008622263699255442,0.008452160770041565,D,0.003740759964919189,0.001452205754625866,D,0.004939180404751587,0.0019316583007907727,D,0.008496023138105567,0.0057326394535696865,D,0.008496023138105567,0.0057326394535696865
