Honest_FPTP_Winner,Honest_FPTP_Top_Two_Ratio,Honest_FPTP_Total_Ratio,Strategic_FPTP_Winner,Strategic_FPTP_Top_Two_Ratio,Strategic_FPTP_Total_Ratio,Approval_Winner,Approval_Top_Two_Ratio,Approval_Total_Ratio,Borda_Winner,Borda_Top_Two_Ratio,Borda_Total_Ratio,Classic_STV_Winner,Classic_STV_Top_Two_Ratio,Classic_STV_Total_Ratio,Complete_STV_Winner,Complete_STV_Top_Two_Ratio,Complete_STV_Total_Ratio
D,0.001828703123825747,0.0012165247387804757,R,0.0005455316913502919,0.0005348758889835377,D,0.0027915965785047063,0.0010836268155958906,D,0.0011133681162166804,0.00043624145500447846,R,0.00026003640509671355,0.0001753273901843635,R,0.00026003640509671355,0.0001753273901843635
R,0.0097172922488231,0.006445149440641175,R,0.008664421086806541,0.008490753628952078,R,0.0033344089491233733,0.0012913886593858266,R,0.0040998461072258305,0.0016008909306048584,R,0.007810460797108724,0.005257325116228781,R,0.007810460797108724,0.005257325116228781
D,0.0015056839569374389,0.000998502246630055,R,0.002387842240524516,0.002338300570703868,R,0.0027163229565030918,0.0010563698406410498,R,0.0004972856491649745,0.00019489649603942477,R,0.0033857557848342183,0.002277290428642654,R,0.0033857557848342183,0.002277290428642654
D,0.0026968312233126078,0.00180469219971927,D,0.0025283682922389206,0.00247843759294141,D,0.0069980261977390995,0.0027106109995204304,D,0.00484639249254059,0.0018973393125454306,D,0.003345620642679702,0.002267142721385808,D,0.003345620642679702,0.002267142721385808
R,0.008160088380034148,0.005430605220064833,R,0.0063638758841531385,0.006237088828857461,R,0.004008302913177296,0.0015567339166452385,R,0.004737060532400545,0.0018558520892852995,R,0.0055554441346944506,0.003747497158937172,R,0.0055554441346944506,0.003747497158937172
D,0.0032313819794093333,0.002151829054696492,D,0.003177687372234704,0.0031129176167344107,D,0.001931814116552785,0.0007500781331388686,D,0.0009184259956034059,0.00035956453255450884,D,0.0028641243390482296,0.0019331900339322166,D,0.0028641243390482296,0.0019331900339322166
D,0.0031094839259742215,0.002066770005166925,R,0.0004646934033740782,0.00045561696479863714,R,0.002237376720542698,0.0008680254157841742,D,0.0013273366161212143,0.0005197022848339737,R,2.000040000800016e-05,1.3480722566729577e-05,R,2.000040000800016e-05,1.3480722566729577e-05
R,0.0028381976189280154,0.001881076042082834,R,0.003319367700933066,0.003252161497580709,R,0.002681444404719342,0.0010423253583862024,R,0.0012390324875503913,0.00048479506390480386,R,0.003506170860714858,0.0023571245774012366,R,0.003506170860714858,0.0023571245774012366
R,0.0018012608826178324,0.00120090067550663,R,0.007686223610294266,0.007533143845282344,R,0.003184941311193816,0.0012366865138640896,R,0.0024895970409360884,0.0009747561369021786,R,0.007165653037875594,0.004842122395833333,R,0.007165653037875594,0.004842122395833333
D,0.010058338362502514,0.006685497484581571,D,0.008194393736562411,0.00803292704750164,D,0.006459948320413436,0.00250154609446116,D,0.007643122676579925,0.0029842843175278515,D,0.007770148174918685,0.005238578680203046,D,0.007770148174918685,0.005238578680203046
