Strategic_FPTP_Efficiency_Gap,Honest_FPTP_Efficiency_Gap,Approval_Efficiency_Gap,Borda_Efficiency_Gap,Classic_STV_Efficiency_Gap,Complete_STV_Efficiency_Gap,Wasted_Ballot_Efficiency_Gap
-0.3834,-0.2504,-0.6577,-0.6454666666666666,-0.3941,-0.3999,-0.1354
-0.4039,-0.2747,-0.65855,-0.6480666666666667,-0.4205,-0.4238,-0.1534
-0.3973,-0.2696,-0.66555,-0.6519833333333334,-0.4095,-0.4149,-0.1636
-0.3966,-0.2796,-0.6563,-0.6475,-0.4181,-0.4202,-0.1447
-0.4164,-0.2955,-0.6659,-0.6545166666666666,-0.4275,-0.4351,-0.1732
-0.3839,-0.2519,-0.6548,-0.6434666666666666,-0.3943,-0.4,-0.1222
-0.4275,-0.2931,-0.66475,-0.6548666666666667,-0.4419,-0.4428,-0.1654
-0.3916,-0.2653,-0.65895,-0.64735,-0.4076,-0.412,-0.1477
-0.4173,-0.2896,-0.666,-0.6561333333333333,-0.433,-0.4395,-0.1597
-0.3905,-0.2573,-0.66065,-0.6481333333333333,-0.404,-0.4054,-0.1393
-0.414,-0.2871,-0.65725,-0.6489333333333334,-0.4323,-0.4372,-0.1513
-0.4061,-0.2747,-0.6605,-0.6481666666666667,-0.4217,-0.4167,-0.1477
-0.4095,-0.2797,-0.65895,-0.65005,-0.4195,-0.424,-0.1525
-0.4106,-0.2861,-0.6624,-0.6508833333333334,-0.4244,-0.4283,-0.1528
-0.4123,-0.2942,-0.66295,-0.6508166666666667,-0.4285,-0.4378,-0.1612
-0.4421,-0.3159,-0.67155,-0.6623666666666667,-0.4672,-0.466,-0.1927
-0.3886,-0.2691,-0.6558,-0.6437,-0.4026,-0.4131,-0.1336
-0.4113,-0.2877,-0.6675,-0.65545,-0.4309,-0.4369,-0.1633
-0.3845,-0.244,-0.66035,-0.6467666666666667,-0.3989,-0.3898,-0.1375
-0.4007,-0.265,-0.66585,-0.6510333333333334,-0.4153,-0.4132,-0.1597
-0.3758,-0.2536,-0.6607,-0.6448,-0.3879,-0.4031,-0.1453
-0.4,-0.2831,-0.65895,-0.6499666666666667,-0.4222,-0.425,-0.1444
-0.3878,-0.2713,-0.65355,-0.6443,-0.4026,-0.4183,-0.1297
-0.4038,-0.2829,-0.6593,-0.6517833333333334,-0.419,-0.4286,-0.1546
-0.4043,-0.2837,-0.6609,-0.6491666666666667,-0.4256,-0.4272,-0.1441
-0.3859,-0.2629,-0.6592,-0.646,-0.403,-0.4084,-0.1456
-0.4422,-0.3066,-0.6705,-0.6606,-0.4543,-0.4542,-0.1843
-0.4085,-0.2855,-0.6625,-0.6524666666666666,-0.4281,-0.431,-0.1633
-0.3964,-0.2761,-0.65985,-0.64955,-0.4168,-0.4188,-0.1579
-0.434,-0.3073,-0.67465,-0.6591666666666667,-0.4588,-0.4549,-0.1822
-0.3914,-0.2753,-0.66465,-0.65235,-0.4173,-0.4225,-0.1561
-0.3941,-0.2718,-0.6586,-0.64655,-0.4079,-0.4177,-0.1537
-0.4155,-0.2867,-0.6588,-0.6528666666666667,-0.427,-0.4309,-0.1606
-0.4252,-0.2973,-0.6665,-0.6581333333333333,-0.4445,-0.4468,-0.1693
-0.4245,-0.3037,-0.6689,-0.65375,-0.4353,-0.4406,-0.1762
-0.4484,-0.3249,-0.66965,-0.6636333333333333,-0.473,-0.4721,-0.1849
-0.4202,-0.2913,-0.6667,-0.65645,-0.4319,-0.435,-0.1663
-0.3834,-0.2601,-0.6678,-0.6504,-0.4005,-0.4096,-0.1687
-0.4361,-0.3035,-0.6765,-0.66275,-0.4592,-0.4574,-0.1936
-0.4007,-0.2722,-0.65985,-0.6471,-0.4092,-0.416,-0.1444
-0.3914,-0.2663,-0.66065,-0.6497666666666667,-0.4057,-0.4146,-0.1444
-0.3932,-0.2712,-0.6572,-0.6462166666666667,-0.4105,-0.4125,-0.1453
-0.4086,-0.2878,-0.6622,-0.6499333333333334,-0.4242,-0.4267,-0.1618
-0.3828,-0.2513,-0.66425,-0.6472333333333333,-0.3925,-0.3898,-0.1516
-0.4285,-0.3013,-0.66185,-0.6519833333333334,-0.4437,-0.4433,-0.1627
-0.4128,-0.2973,-0.6617,-0.6538166666666667,-0.4301,-0.4376,-0.1585
-0.4063,-0.281,-0.66715,-0.6541,-0.4222,-0.4258,-0.1687
-0.3951,-0.2751,-0.65345,-0.64495,-0.4101,-0.4124,-0.1459
-0.3934,-0.264,-0.65745,-0.6472333333333333,-0.4152,-0.4128,-0.1408
-0.4366,-0.3045,-0.6717,-0.6606666666666666,-0.4515,-0.4537,-0.1849
-0.3843,-0.2651,-0.65745,-0.6450333333333333,-0.3986,-0.4064,-0.1378
-0.4013,-0.2821,-0.66125,-0.6525166666666666,-0.4246,-0.4302,-0.1591
-0.3891,-0.2687,-0.65915,-0.6486333333333333,-0.4071,-0.4158,-0.1495
-0.3753,-0.2569,-0.65475,-0.6424166666666666,-0.3862,-0.3983,-0.1276
-0.3922,-0.2748,-0.6583,-0.6476333333333333,-0.4104,-0.4151,-0.1474
-0.4163,-0.286,-0.6731,-0.6581166666666667,-0.4311,-0.4345,-0.1783
-0.4107,-0.2794,-0.6653,-0.6525666666666666,-0.4268,-0.4275,-0.1606
-0.3873,-0.2599,-0.6564,-0.64235,-0.3989,-0.3965,-0.1357
-0.4151,-0.2832,-0.6663,-0.65335,-0.4267,-0.4326,-0.1732
-0.3785,-0.2498,-0.65445,-0.6438833333333334,-0.3918,-0.3957,-0.1282
-0.4181,-0.301,-0.67075,-0.6569833333333334,-0.4376,-0.442,-0.1738
-0.3982,-0.2692,-0.65835,-0.6446,-0.4171,-0.4202,-0.1399
