Cast Vote Record,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice
1,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2,"DEM Golden, Jared F.",undervote,undervote,undervote
3,"REP Poliquin, Bruce",undervote,undervote,undervote
4,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
5,"REP Poliquin, Bruce",undervote,undervote,undervote
6,"REP Poliquin, Bruce",undervote,undervote,undervote
7,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
8,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
9,"Bond, Tiffany L.","Hoar, William R.S.","Hoar, William R.S.","Hoar, William R.S."
10,"REP Poliquin, Bruce","REP Poliquin, Bruce",undervote,undervote
11,undervote,undervote,undervote,undervote
12,"DEM Golden, Jared F.",undervote,undervote,undervote
13,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
14,"REP Poliquin, Bruce",undervote,undervote,undervote
15,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
16,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
17,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote
18,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
19,"Bond, Tiffany L.","Hoar, William R.S.","Bond, Tiffany L.","Bond, Tiffany L."
20,"DEM Golden, Jared F.","REP Poliquin, Bruce",undervote,undervote
21,"DEM Golden, Jared F.",undervote,undervote,undervote
22,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L."
23,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
24,"DEM Golden, Jared F.",undervote,undervote,undervote
25,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
26,undervote,undervote,undervote,undervote
27,"REP Poliquin, Bruce",undervote,undervote,undervote
28,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
29,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
30,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
31,"Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce","Hoar, William R.S."
32,"DEM Golden, Jared F.","DEM Golden, Jared F.",undervote,undervote
33,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
34,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
35,"REP Poliquin, Bruce",undervote,undervote,undervote
36,"Hoar, William R.S.","Hoar, William R.S.","Hoar, William R.S.","Hoar, William R.S."
37,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
38,"REP Poliquin, Bruce",undervote,undervote,undervote
39,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
40,"REP Poliquin, Bruce",undervote,undervote,undervote
41,"DEM Golden, Jared F.",undervote,undervote,undervote
42,"REP Poliquin, Bruce",undervote,undervote,undervote
43,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
44,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
45,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
46,"REP Poliquin, Bruce",undervote,undervote,undervote
47,"REP Poliquin, Bruce",undervote,undervote,undervote
48,"REP Poliquin, Bruce",undervote,undervote,undervote
49,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
50,"Bond, Tiffany L.",undervote,undervote,undervote
51,"DEM Golden, Jared F.",undervote,undervote,undervote
52,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
53,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
54,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
55,"REP Poliquin, Bruce",undervote,undervote,undervote
56,"Bond, Tiffany L.",undervote,undervote,undervote
57,"Bond, Tiffany L.",undervote,undervote,undervote
58,undervote,undervote,undervote,undervote
59,"DEM Golden, Jared F.","DEM Golden, Jared F.",undervote,"DEM Golden, Jared F."
60,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
61,"REP Poliquin, Bruce","DEM Golden, Jared F.","DEM Golden, Jared F.",undervote
62,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
63,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
64,"REP Poliquin, Bruce",undervote,undervote,undervote
65,"Hoar, William R.S.",undervote,undervote,undervote
66,"DEM Golden, Jared F.",undervote,undervote,undervote
67,"DEM Golden, Jared F.",undervote,undervote,undervote
68,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce"
69,"Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F."
70,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
71,"REP Poliquin, Bruce",undervote,undervote,undervote
72,"DEM Golden, Jared F.",undervote,undervote,undervote
73,"REP Poliquin, Bruce",undervote,undervote,undervote
74,"REP Poliquin, Bruce",undervote,undervote,undervote
75,"REP Poliquin, Bruce",undervote,undervote,undervote
76,undervote,"REP Poliquin, Bruce",undervote,undervote
77,"REP Poliquin, Bruce",undervote,undervote,undervote
78,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
79,"REP Poliquin, Bruce",undervote,"Hoar, William R.S.","Hoar, William R.S."
80,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
81,"DEM Golden, Jared F.","Bond, Tiffany L.","DEM Golden, Jared F.","DEM Golden, Jared F."
82,"DEM Golden, Jared F.",undervote,undervote,undervote
83,"DEM Golden, Jared F.",undervote,undervote,undervote
84,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"Hoar, William R.S."
85,"REP Poliquin, Bruce",undervote,undervote,undervote
86,"REP Poliquin, Bruce",undervote,undervote,undervote
87,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
88,"REP Poliquin, Bruce","Bond, Tiffany L.","REP Poliquin, Bruce","REP Poliquin, Bruce"
89,"REP Poliquin, Bruce",undervote,undervote,undervote
90,"DEM Golden, Jared F.",undervote,undervote,undervote
91,"DEM Golden, Jared F.",undervote,undervote,undervote
92,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
93,"REP Poliquin, Bruce",undervote,undervote,undervote
94,"REP Poliquin, Bruce",undervote,undervote,undervote
95,"DEM Golden, Jared F.",undervote,undervote,undervote
