Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
1,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
7,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
9,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
10,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
12,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
13,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
14,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
15,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
16,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
21,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
24,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
25,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
27,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
30,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","DEM Golden, Jared F.","Hoar, William R.S."
33,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
36,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
37,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
42,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L."
44,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
47,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce"
54,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
56,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
58,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
61,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
63,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
66,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F."
67,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
69,"REP Poliquin, Bruce (5931)",undervote,"Hoar, William R.S.","Bond, Tiffany L."
73,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
74,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
